,GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,latitude,longitude,Plant age (years),total_capacity,Lat,Lon,geometry
14,P100000120757,African Natural Resources and Mines Kaduna steel plant,,"African Industries Group, ANRML Kaduna Steel Plant",,African Natural Resources & Mines Ltd,,E100000131098,unknown,,African Industries Ltd,E100000131145,5082505395,"Gujeni village, Kagarko, Kaduna, Nigeria",,Kagarko,Kaduna State,Nigeria,Africa,"9.4627150, 7.3680000",exact,https://www.gem.wiki/African_Natural_Resources_and_Mines_Kaduna_steel_plant,1.45,2012,unknown,2024-09-07 00:00:00,unknown,unknown,unknown,,,,5400.0,"semi-finished, finished rolled","rebar, sections, plate, rod, mesh, pipe, billet, wire",unknown,3500,unknown,unknown,no,DRI; Steel other/unspecified,36 mw captive power plant,ANRML iron ore mine on-site (P100000129459),unknown,9.462715,7.368,1.45,5400.0,9.4627150,7.3680000,POINT (7.368 9.462715)
22,P100000120756,Ajaokuta Steel plant,,,,Ajaokuta Steel Co Ltd,,E100000002408,5040059767,Full,Ajaokuta Steel Co Ltd [100.0%],E100000002408 [100.0%],5040059767 [100.0%],"Ajaokuta Steel Company Ltd, 263106, Ajaokuta, Nigeria",,Ajaokuta,Kogi State,Nigeria,Africa,"7.5113360, 6.6893640",exact,https://www.gem.wiki/Ajaokuta_Steel_plant,unknown,unknown,1979,unknown,unknown,1994,unknown,,2610.0,880.0,,"semi-finished, finished rolled","rebar, sections, square, rod, billet, channel, angle, beam",unknown,10000,no,no,no,BF; BOF,Captive Power Plant (110 mw),Itakpe Iron Ore Mine,unknown,7.511336,6.689364,,3490.0,7.5113360,6.6893640,POINT (6.689364 7.511336)
23,P100000121166,Aktobe Generatsiya steel plant,Cталеплавильный завод ТОО «Актобе Генерация»,Aktobe Generatsia steel plant,,Aktobe Generatsiya LLC,"""АКТОБЕ ГЕНЕРАЦИЯ"" ЖШС",E100001012067,unknown,,Aktobe Generatsiya LLC [100.0%],E100001012067 [100.0%],unknown [100.0%],"Aktobe, Kazakhstan",,Aktobe,Aktobe,Kazakhstan,Eurasia,"50.3551170, 57.1451190",approximate,https://www.gem.wiki/Aktobe_Generatsiya_steel_plant,0.05,2022,unknown,unknown,unknown,unknown,unknown,,1300.0,,,"crude, semi-finished","bloom, billet",unknown,2600,unknown,unknown,no,BF; BOF,Captive combined gas-fired power plant,unknown,unknown,50.355117,57.145119,0.05,1300.0,50.3551170,57.1451190,POINT (57.145119 50.355117)
25,P100000120835,Al Ittefaq Arab Steel Dammam plant,حديد الإتفاق,"ISPC, Arab Steel, ASCO",الشركة العريبة للحديد,Arab Steel Co,,E100000131037,5050911102,,Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],E100001016122 [60.0%]; E100000132388 [40.0%],unknown [60.0%]; unknown [40.0%],"Dammam, 31472, Saudi Arabia",,Dammam,Eastern Province,Saudi Arabia,Middle East,"26.2779170, 49.9491770",exact,https://www.gem.wiki/Al_Ittefaq_Arab_Steel_Dammam_plant,37,unknown,unknown,1989,unknown,unknown,unknown,,,,2500.0,"semi-finished, finished rolled","cold rolled, wire, mesh",unknown,350,2023-01-09 00:00:00,2024-04-04 00:00:00,no,DRI; EAF,unknown,unknown,unknown,26.277917,49.949177,37.0,2500.0,26.2779170,49.9491770,POINT (49.949177 26.277917)
29,P100000120905,Alchevsk Metallurgical Plant,Алчевский металлургический комбинат,"AMK, Alchevsk Iron & Steel plant","Алчевський металургійний комбінат, Алчевський МК (Ukranian), Алчевский МК",Alchevsk Metallurgical Plant PJSC,"ПАТ ""АЛЧЕВСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ""",E100001012119,5000049750,,Southern Mining and Metallurgical Complex LLC,E100000130963,5001424076,"Schmidt St. 4, Alchevsk, Luhansk oblast, Ukraine, 94200","Шмидта ул. 4, Alchevs'k, Луганская, Ukraine, 94200",Alchevsk,Luhansk,Ukraine,Europe,"48.4781110, 38.7707870",exact,https://www.gem.wiki/Alchevsk_Metallurgical_Plant,130,unknown,unknown,1896,unknown,unknown,unknown,,5400.0,989.0,,"semi-finished, finished rolled","shapes, slab, billet, channel, beam","building and infrastructure, energy, tools and machinery, transport",10000,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,48.478111,38.770787,130.0,6389.0,48.4781110,38.7707870,POINT (38.770787 48.478111)
34,P100000120750,Alliance Steel Kuantan plant,,"ASSB plant, MCKIP plant, Kawasan Industri Malaysia-China Kuantan plant",,Alliance Steel (M) Sdn Bhd,,E100000131062,5071171452,Partial,Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],E100000127970 [50.0%]; E100000123226 [50.0%],5000910985 [50.0%]; 5000577864 [50.0%],"Kawasan Industri Malaysia-China Kuantan (MCKIP), Jalan Gebeng By Pass, 26080 Kuantan, Pahang Darul Makmur, Malaysia",,Kuantan,Pahang,Malaysia,Asia Pacific,"4.0075950, 103.3444580",exact,https://www.gem.wiki/Alliance_Steel_Kuantan_plant,9,2013-02-01 00:00:00,2014-12-01 00:00:00,2017,unknown,unknown,unknown,,,1100.0,720.0,finished rolled,"wire rod, h-beam, bar",building and infrastructure,3500,unknown,unknown,no,BF; BOF; Iron other/unspecified; Steel other/unspecified,unknown,Imported from Brazil and Australia,unknown,4.007595,103.344458,9.0,1820.0,4.0075950,103.3444580,POINT (103.344458 4.007595)
37,P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Siderúrgica Altos Hornos De Mexico S.A. (AHMSA),AHMSA steel plant,,Altos Hornos de Mexico SAB de CV,,E100001010310,4295884289,,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],E100000131250 [64.0%]; E100001015587 [36.0%],4296535922 [64.0%]; unknown [36.0%],"Prolongación Juárez S/N Col. La Loma, CP. 25770 Monclova, Coahuila, Mexico",,Monclova,Coahuila,Mexico,North America,"26.8768890, -101.4166120",exact,https://www.gem.wiki/Altos_Hornos_De_Mexico_SA_(AHMSA)_steel_plant,82,unknown,unknown,1944,unknown,2022-12-01 00:00:00,unknown,,2263.0,821.0,4200.0,"semi-finished, finished rolled","sheet, profile, plate","building and infrastructure, steel packaging, tools and machinery",7366,unknown,unknown,no,BF; BOF; EAF,40 MW onsite gas-fired power plant (generates more than 50% of steel plant's electricity),MINOSA & CEMESA Mexican iron mining subsidiaries,MICARE & MIMOSA Mexican coal-mining subsidiaries,26.876889,-101.416612,82.0,7284.0,26.8768890,-101.4166120,POINT (-101.416612 26.876889)
42,P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,安钢集团信阳钢铁有限责任公司,,,"Xinyang Iron & Steel Co.,ltd of Angang Group",安钢集团信阳钢铁有限责任公司,E100000127277,unknown,Partial,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],E100000123261 [65.2%]; E100000127609 [15.8%]; E100000132388 [10.4%]; E100000125158 [8.6%],unknown [65.2%]; unknown [15.8%]; unknown [10.4%]; unknown [8.6%],No. 34 Xinmin Road,河南省信阳市平桥区明港镇新民路34号,Minggang,Henan,China,Asia Pacific,"32.4887040, 114.0382430",exact,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,55,unknown,unknown,1971,unknown,unknown,unknown,,,600.0,,finished rolled,"rebar, strip, billet, rounds, slab",unknown,3711,2022-11-01 00:00:00,2024-11-11 00:00:00,no,BF; BOF,unknown,unknown,unknown,32.488704,114.038243,55.0,600.0,32.4887040,114.0382430,POINT (114.038243 32.488704)
46,P100000120070,Anhui Changjiang Steel Co Ltd,龙山桥钢铁总厂,Longshanqiao Iron and Steel Plant (predecessor),安徽长江钢铁股份有限公司,Anhui Changjiang Steel Co Ltd,安徽长江钢铁股份有限公司,E100000123155,unknown,,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],E100000123737 [55.0%]; E100000123261 [37.2%]; E100000132388 [7.8%],4295864332 [55.0%]; unknown [37.2%]; unknown [7.8%],Longshanqiao Industrial Park,马鞍山市当涂县龙山桥工业园,unknown,Anhui,China,Asia Pacific,"31.5022720, 118.4651620",exact,https://www.gem.wiki/Anhui_Changjiang_Steel_Co_Ltd,23,unknown,unknown,2003,unknown,unknown,unknown,,1375.0,,,finished rolled,"rebar, wire","building and infrastructure, transport",3705,2023-02-23 00:00:00,2024-12-27 00:00:00,no,BF; BOF; EAF,3.5 MW Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,31.502272,118.465162,23.0,1375.0,31.5022720,118.4651620,POINT (118.465162 31.502272)
52,P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,"Lu'an Iron and Steel Holding Group Special Steel Co., Ltd.",六安钢铁控股集团旗下安徽首矿大昌金属材料有限公司,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,E100000126761,unknown,,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],E100000128793 [89.0%]; E100000128301 [7.9%]; E100000132388 [3.1%],unknown [89.0%]; unknown [7.9%]; unknown [3.1%],"Economic Development Zone, Huoqiu Couty, Liuan City, Anhui Province",六安市霍邱县经济开发区,liuan,Anhui,China,Asia Pacific,"32.3291710, 115.9549630",exact,https://www.gem.wiki/Anhui_Shoukuang_Dachang_Metal_Material_Co_Ltd,16,unknown,unknown,2010,unknown,unknown,unknown,,,1200.0,,finished rolled,"bar, coil, wire, hot rolled","automotive, tools and machinery",3955,2024-12-12 00:00:00,2023-12-29 00:00:00,no,BF; BOF,Ultra-high Temperature Subcritical Coal Gas Power Generation Unit,Huoqiu Iron Mine,unknown,32.329171,115.954963,16.0,1200.0,32.3291710,115.9549630,POINT (115.954963 32.329171)
